id,class,subject,topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
16,6,Science,Physics - Electricity,medium,"An electric cell has _____ terminals.",One,Two,Three,Four,B,"An electric cell has two terminals: a positive terminal (+) and a negative terminal (-)."
17,6,Science,Chemistry - Water,easy,"What is the chemical formula for water?",CO2,H2O,O2,NaCl,B,"H2O represents a water molecule, which consists of two hydrogen atoms and one oxygen atom."
18,6,Science,Biology - Body Movements,easy,"Which joint allows movement in all directions, like a shoulder?",Hinge joint,Pivot joint,Fixed joint,Ball and socket joint,D,"The ball and socket joint (e.g., shoulder and hip joints) allows for the greatest range of motion."
19,6,Science,Physics - Light,medium,"An object that does not produce its own light is called a _____ object.",Luminous,Non-luminous,Transparent,Opaque,B,"Non-luminous objects are visible because they reflect light from a luminous source."
20,6,Science,Chemistry - Changes Around Us,hard,"Which of the following is an irreversible change?",Melting of ice,Folding paper,Burning of paper,Boiling of water,C,"Burning of paper is a chemical change that produces new substances (ash, smoke) and cannot be reversed."
21,6,Social Science,History - Indus Civilization,easy,"The Great Bath is a significant structure found in which ancient city?",Harappa,Mohenjo-Daro,Lothal,Kalibangan,B,"The Great Bath is one of the best-known structures among the ruins of the ancient Indus Valley Civilization at Mohenjo-Daro."
22,6,Social Science,Geography - The Universe,easy,"Which is the closest star to Earth?",Proxima Centauri,Sun,Alpha Centauri,Sirius,B,"The Sun is the star at the center of our Solar System and is the closest star to Earth."
23,6,Social Science,Civics - Diversity,easy,"Celebrating Pongal in Tamil Nadu and Bihu in Assam is an example of _____ diversity.",Religious,Linguistic,Cultural,Regional,C,"Festivals are a key component of cultural diversity, reflecting the traditions of a region."
24,6,Social Science,History - Ancient Cities of Tamilagam,medium,"Which of the following was a famous port city of the Pandyas?",Poompuhar,Madurai,Korkai,Uraiyur,C,"Korkai was the principal port of the Pandya kingdom."
25,6,Social Science,Geography - Globe,medium,"The imaginary line that divides the Earth into the Northern and Southern Hemispheres is called the _____.",Tropic of Cancer,Equator,Prime Meridian,Tropic of Capricorn,B,"The Equator is the imaginary line at 0 degrees latitude that circles the Earth."
26,6,Social Science,Civics - Constitution,easy,"When is the Indian Constitution Day celebrated?",Jan 26,Aug 15,Nov 26,Oct 2,C,"Constitution Day (Samvidhan Divas) is celebrated on 26th November every year to commemorate the adoption of the Constitution of India."
27,6,Social Science,History - Mauryan Empire,medium,"Who was the founder of the Mauryan Empire?",Ashoka,Bindusara,Chandragupta Maurya,Chanakya,C,"Chandragupta Maurya founded the Mauryan Empire in 322 BCE with the help of his mentor Chanakya."
28,6,Social Science,Geography - Landforms,easy,"Large, flat areas of land are called _____.",Mountains,Plateaus,Plains,Deserts,C,"Plains are vast stretches of flat land with gentle slopes."
29,6,Social Science,Civics - Local Self-Government,medium,"The head of the Village Panchayat is the _____.",Mayor,Chairman,President,Councillor,C,"The Panchayat President is the elected head of the local self-government at the village level."
30,6,Social Science,History - Gupta Empire,hard,"Who was the famous court poet of Samudragupta?",Kalidasa,Harisena,Banabhatta,Amarasiṃha,B,"Harisena was the court poet of the Gupta emperor, Samudragupta. He wrote the famous Allahabad Pillar inscription."
31,6,English,Prose - Sea Turtles,easy,"Where do sea turtles come ashore to lay their eggs?",Beach,Rocks,Coral reefs,Deep sea,A,"Female sea turtles dig nests on sandy beaches to lay their eggs."
32,6,English,Grammar - Nouns,easy,"Which of the following is a proper noun?",Boy,City,Chennai,River,C,"A proper noun is a specific name for a person, place, or thing. 'Chennai' is the name of a specific city."
33,6,English,Poem - The Crocodile,easy,"In the poem 'The Crocodile', what does the crocodile spread 'neatly'?",His claws,His jaws,His tail,His tears,A,"The poem says, 'How cheerfully he seems to grin, How neatly spreads his claws...'"
34,6,English,Grammar - Articles,easy,"Choose the correct article: I saw _____ elephant this morning.",a,an,the,no article,B,"'An' is used before words that start with a vowel sound, like 'elephant'."
35,6,English,Vocabulary,medium,"What is the synonym for 'tiny'?",Large,Huge,Small,Giant,C,"'Tiny' and 'small' both mean of a limited size."
36,6,English,Grammar - Plurals,medium,"What is the plural form of the word 'child'?",Childs,Childes,Children,Childrens,C,"'Child' is an irregular noun; its plural form is 'children'."
37,6,English,Supplementary - The Apple Tree,medium,"In the story 'The Apple Tree and the Farmer', why did the farmer want to cut the tree down?",It was too old,It gave no fruit,It blocked the sun,It was home to pests,B,"The farmer decided to cut the tree down because it was old and no longer bore any fruit."
38,6,English,Grammar - Adjectives,easy,"Identify the adjective in the sentence: 'The red car is fast.'",car,red,is,fast,B,"'Red' is an adjective because it describes the noun 'car'."
39,6,English,Vocabulary,hard,"What is the antonym for 'ancient'?",Old,Modern,Aged,Past,B,"'Ancient' refers to the distant past, while 'modern' refers to the present or recent times."
40,6,English,Prose - A Visitor from Distant Lands,medium,"In the lesson, 'spices' like pepper and cloves were originally from which country?",China,India,Egypt,Greece,B,"The lesson highlights that many spices, which were highly valued in ancient times, originated from India."
41,6,Tamil,செய்யுள் - இன்பத் தமிழ்,easy,"'தமிழுக்கும் அமுதென்று பேர்!' - இந்தப் பாடலை எழுதியவர் யார்?",பாரதியார்,பாரதிதாசன்,கண்ணதாசன்,வாணிதாசன்,B,"இன்பத் தமிழ் பாடலை இயற்றியவர் புரட்சிக்கவிஞர் பாரதிதாசன்."
42,6,Tamil,இலக்கணம் - தமிழ் எழுத்துகள்,easy,"உயிர் எழுத்துகள் மொத்தம் எத்தனை?",10,12,18,30,B,"தமிழ் மொழியில் உயிர் எழுத்துகள் 'அ' முதல் 'ஔ' வரை மொத்தம் 12 ஆகும்."
43,6,Tamil,உரைநடை - வளர்தமிழ்,medium,"'தமிழ்' என்னும் சொல் முதன்முதலில் எந்த நூலில் இடம்பெற்றுள்ளது?",திருக்குறள்,தொல்காப்பியம்,சிலப்பதிகாரம்,அகநானூறு,B,"'தமிழ்' என்ற சொல் முதன்முதலில் தமிழ் இலக்கண நூலான தொல்காப்பியத்தில் ஆளப்பட்டுள்ளது."
44,6,Tamil,செய்யுள் - திருக்குறள்,medium,"'அகர முதல எழுத்தெல்லாம்' எனத் தொடங்கும் திருக்குறள் எந்த அதிகாரத்தில் உள்ளது?",கடவுள் வாழ்த்து,வான் சிறப்பு,நீத்தார் பெருமை,அறன் வலியுறுத்தல்,A,"இந்தக் குறள் திருக்குறளின் முதல் அதிகாரமான கடவுள் வாழ்த்தில் முதல் குறளாக அமைந்துள்ளது."
45,6,Tamil,இலக்கணம் - முதல் எழுத்தும் சார்பு எழுத்தும்,easy,"மெய் எழுத்துகளின் எண்ணிக்கை எவ்வளவு?",12,18,216,247,B,"மெய் எழுத்துகள் 'க்' முதல் 'ன்' வரை மொத்தம் 18 ஆகும்."
46,6,Tamil,துணைப்பாடம் - கிழவனும் கடலும்,medium,"'The Old Man and the Sea' என்ற ஆங்கிலப் புதினத்தின் ஆசிரியர் யார்?",ஆஸ்கார் வைல்ட்,ரட்யார்ட் கிப்ளிங்,எர்னெஸ்ட் ஹெமிங்வே,லியோ டால்ஸ்டாய்,C,"'The Old Man and the Sea' (கிழவனும் கடலும்) என்ற புதினத்தை எழுதியவர் எர்னெஸ்ட் ஹெமிங்வே."
47,6,Tamil,உரைநடை - கனியனின் நண்பன்,easy,"கனியனின் நண்பனாகக் குறிப்பிடப்படுவது எது?",நாய்,பூனை,எந்திர மனிதன்,பறவை,C,"'கனியனின் நண்பன்' பாடத்தில், ஒரு ரோபோ (எந்திர மனிதன்) கனியனின் நண்பனாக அறிமுகப்படுத்தப்படுகிறது."
48,6,Tamil,செய்யுள் - ஆசாரக்கோவை,hard,"'ஆசாரக்கோவை'யின் ஆசிரியர் யார்?",முன்றுறை அரையனார்,பெருவாயின் முள்ளியார்,காரியாசான்,கபிலர்,B,"ஆசாரக்கோவையின் ஆசிரியர் பெருவாயின் முள்ளியார் ஆவார்."
49,6,Tamil,இலக்கணம் - மொழி முதல், இறுதி எழுத்துகள்,medium,"சொல்லின் முதலில் வராத மெய் எழுத்து எது?",க்,ச்,ட்,ப்,C,"ட, ர, ல போன்ற மெய் எழுத்துகள் ஒரு சொல்லின் முதலில் வராது."
50,6,Tamil,பழமொழி,easy,"'யானைக்கும் அடி சறுக்கும்' - இப்பழமொழியின் பொருள் என்ன?",யானை வலிமையானது,தவறு செய்வது இயல்பு,யானை மெதுவாக நடக்கும்,யானை ஒரு விலங்கு,B,"மிகப் பெரிய பலசாலிக்கும் சில சமயங்களில் நிலை தடுமாறும், அதாவது தவறு செய்வது மனித இயல்பு என்பதைக் குறிக்கிறது."
51,7,Mathematics,Integers,easy,"What is the value of (-10) + (+7)?",-3,3,-17,17,A,"When adding a positive integer to a negative one, you subtract and keep the sign of the larger number. 10 - 7 = 3. The sign is negative."
52,7,Mathematics,Fractions,medium,"Which fraction is greater: 2/3 or 4/5?",2/3,4/5,They are equal,Cannot be determined,B,"To compare, find a common denominator (15). 2/3 becomes 10/15 and 4/5 becomes 12/15. So, 4/5 is greater."
53,7,Mathematics,Simple Equations,medium,"Solve for y: 3y - 5 = 16",y = 7,y = 6,y = 5,y = 8,A,"3y = 16 + 5 => 3y = 21 => y = 21 / 3 => y = 7."
54,7,Mathematics,Lines and Angles,easy,"Two angles that add up to 180° are called _____ angles.",Complementary,Supplementary,Adjacent,Vertically opposite,B,"Supplementary angles are a pair of angles whose sum is 180 degrees."
55,7,Mathematics,Percentage,medium,"What is 20% of 150?",20,25,30,35,C,"20% of 150 = (20/100) * 150 = 30."
56,7,Mathematics,Triangles,easy,"A triangle must have at least _____ acute angles.",One,Two,Three,Zero,B,"A triangle will always have at least two acute angles."
57,7,Mathematics,Perimeter and Area,medium,"What is the area of a circle with a radius of 7 cm? (Use π = 22/7)",154 sq cm,44 sq cm,49 sq cm,144 sq cm,A,"Area of a circle = π * r² = (22/7) * 7 * 7 = 154 sq cm."
58,7,Mathematics,Exponents,medium,"What is the value of 2⁵?",7,10,16,32,D,"2⁵ = 2 * 2 * 2 * 2 * 2 = 32."
59,7,Mathematics,Ratio and Proportion,hard,"If a:b = 2:3 and b:c = 3:4, what is a:c?",1:2,2:4,1:4,2:3,A,"Since b is the same in both ratios (3), we can directly say a:c = 2:4, which simplifies to 1:2."
60,7,Mathematics,Data Handling,easy,"The middle value of a sorted dataset is called the _____.",Mean,Median,Mode,Range,B,"The median is the middle number in a sorted, ascending or descending, list of numbers."
61,7,Science,Nutrition in Plants,easy,"Which pigment is essential for photosynthesis?",Chlorophyll,Melanin,Hemoglobin,Carotene,A,"Chlorophyll is the green pigment in plants that absorbs sunlight for photosynthesis."
62,7,Science,Acids, Bases and Salts,easy,"What is the taste of a base?",Sweet,Sour,Salty,Bitter,D,"Bases are generally bitter in taste and feel soapy to the touch."
63,7,Science,Heat,medium,"The process of heat transfer in solids is primarily through _____.",Conduction,Convection,Radiation,Evaporation,A,"Conduction is the transfer of heat through direct contact, which is the main mode in solids."
64,7,Science,Weather and Climate,medium,"Which instrument is used to measure rainfall?",Barometer,Anemometer,Hygrometer,Rain gauge,D,"A rain gauge is used by meteorologists and hydrologists to measure the amount of liquid precipitation."
65,7,Science,Reproduction in Plants,medium,"The transfer of pollen from the anther to the stigma is called _____.",Fertilization,Pollination,Germination,Dispersal,B,"Pollination is a crucial step in the reproduction of flowering plants."
66,7,Science,Electric Current,easy,"The filament of an electric bulb is made of _____.",Copper,Aluminum,Tungsten,Iron,C,"Tungsten has a very high melting point, making it suitable for use as a filament."
67,7,Science,Fibre to Fabric,easy,"Silk is obtained from which insect?",Honeybee,Silkworm,Ant,Mosquito,B,"Silkworms produce cocoons from which silk fibre is obtained."
68,7,Science,Motion and Time,medium,"The standard unit of speed is _____.",km/h,m/s,cm/s,km/min,B,"In the International System of Units (SI), the unit of speed is meters per second (m/s)."
69,7,Science,Physical and Chemical Changes,hard,"Rusting of iron is an example of a _____ change.",Physical,Chemical,Periodic,Reversible,B,"Rusting is a chemical change because a new substance (iron oxide) is formed."
70,7,Science,Forests,easy,"Forests help in preventing _____.",Soil erosion,Rain,Sunlight,Wind,A,"The roots of trees bind the soil particles together, thus preventing soil erosion."
71,7,Social Science,History - The Delhi Sultanate,medium,"Who introduced the 'token currency' in India?",Alauddin Khilji,Ghiyasuddin Tughlaq,Muhammad bin Tughlaq,Firoz Shah Tughlaq,C,"Muhammad bin Tughlaq's experiment with token currency made of brass and copper was a famous but failed initiative."
72,7,Social Science,Geography - Our Environment,easy,"The domain of water on the Earth's surface is called the _____.",Lithosphere,Atmosphere,Hydrosphere,Biosphere,C,"The hydrosphere includes all water on Earth, including oceans, seas, rivers, and lakes."
73,7,Social Science,Civics - Equality,easy,"The Midday Meal Scheme was first introduced in which state?",Kerala,Tamil Nadu,Andhra Pradesh,Karnataka,B,"Tamil Nadu was the first state in India to introduce the Midday Meal Scheme to increase school enrollment."
74,7,Social Science,History - The Mughal Empire,medium,"Who wrote the 'Akbarnama'?",Abul Fazl,Faizi,Todar Mal,Birbal,A,"Abul Fazl, one of Akbar's 'nine jewels', was the author of Akbarnama, the official chronicle of Akbar's reign."
75,7,Social Science,Geography - Interior of the Earth,easy,"The innermost layer of the Earth is the _____.",Crust,Mantle,Core,Magma,C,"The Earth's core is the very hot, very dense center of our planet."
76,7,Social Science,Civics - Role of Government in Health,medium,"What does 'PHC' stand for in the context of public health?",Public Health Centre,Primary Health Centre,Private Health Clinic,Public Hospital Care,B,"Primary Health Centres (PHCs) are the cornerstone of rural healthcare in India."
77,7,Social Science,History - Vijayanagar and Bahmani Kingdoms,medium,"The famous Vijaya Vittala temple with its musical pillars is located at _____.",Halebidu,Belur,Hampi,Srirangam,C,"Hampi, the capital of the Vijayanagar Empire, is famous for its ruins, including the Vittala temple."
78,7,Social Science,Geography - Air,easy,"Which gas is the most abundant in the Earth's atmosphere?",Oxygen,Carbon Dioxide,Nitrogen,Argon,C,"Nitrogen makes up about 78% of the air we breathe."
79,7,Social Science,Civics - Women Change the World,easy,"Who was the first woman teacher in India?",Sarojini Naidu,Savitribai Phule,Pandita Ramabai,Annie Besant,B,"Savitribai Phule, along with her husband Jyotirao Phule, played a vital role in women's education in India."
80,7,Social Science,History - Bhakti and Sufi Movements,hard,"Who was the founder of the Chisti order of Sufism in India?",Nizamuddin Auliya,Moinuddin Chishti,Baba Farid,Qutbuddin Bakhtiar Kaki,B,"Moinuddin Chishti is credited with establishing the Chisti order in the Indian subcontinent."
81,7,English,Poem - The Squirrel,easy,"What did the squirrel wear for a tail in the poem?",A question mark,An exclamation mark,A straight line,A bushy coat,A,"The poet describes the squirrel's tail as looking like a question mark."
82,7,English,Grammar - Degrees of Comparison,medium,"Choose the superlative degree of 'good'.",Good,Better,Best,Goodest,C,"The degrees of comparison for 'good' are good (positive), better (comparative), and best (superlative)."
83,7,English,Prose - Three Questions,medium,"In the story 'Three Questions', who did the king finally get his answers from?",The wise men,The magician,The hermit,The soldier,C,"The king received the most satisfactory answers to his three questions from a wise hermit."
84,7,English,Grammar - Conjunctions,easy,"Which word is a conjunction: 'He ran fast _____ he missed the bus.'",and,or,but,so,C,"'But' is used here to connect two contrasting ideas."
85,7,English,Vocabulary,medium,"What is a person who writes books called?",Author,Poet,Publisher,Editor,A,"An author is the writer of a book, article, or report."
86,7,English,Grammar - Modals,medium,"Choose the correct modal: 'You _____ to respect your elders.'",can,should,may,might,B,"'Should' is a modal verb used to give advice or indicate obligation."
87,7,English,Supplementary - A Gift of Chappals,easy,"What did the children give the beggar in 'A Gift of Chappals'?",Money,Food,A pair of chappals,A blanket,C,"The children generously gave away a pair of music-master's chappals to the beggar."
88,7,English,Grammar - Active and Passive Voice,hard,"What is the passive voice of 'She helps me'?",I am helped by her.,She is helped by me.,I was helped by her.,She was helped by me.,A,"In the passive voice, the object 'me' becomes the subject 'I', and the verb form changes to 'am helped'."
89,7,English,Vocabulary,easy,"What is the opposite of 'brave'?",Coward,Strong,Bold,Timid,A,"A coward is a person who lacks the courage to do or endure dangerous or unpleasant things."
90,7,English,Prose - The Story of Cricket,medium,"Where did the game of cricket originate?",India,Australia,England,South Africa,C,"Cricket originated in south-east England sometime in the 16th century."
91,7,Tamil,செய்யுள் - எங்கள் தமிழ்,easy,"'அருள்நெறி அறிவைத் தரலாகும்' என்று கூறும் நூல் எது?",திருக்குறள்,நாலடியார்,எங்கள் தமிழ்,மூதுரை,C,"நாமக்கல் கவிஞர் வெ. இராமலிங்கம் பிள்ளை எழுதிய 'எங்கள் தமிழ்' பாடலில் இந்த வரி இடம்பெற்றுள்ளது."
92,7,Tamil,இலக்கணம் - குற்றியலுகரம், குற்றியலிகரம்,medium,"'நாடு' - இது எவ்வகைக் குற்றியலுகரம்?",நெடிற்றொடர்,ஆய்தத்தொடர்,உயிர்த்தொடர்,வன்தொடர்,A,"நெடில் எழுத்தைத் தொடர்ந்து வரும் குற்றியலுகரம் நெடிற்றொடர்க் குற்றியலுகரம் எனப்படும்."
93,7,Tamil,உரைநடை - பேச்சு மொழியும் எழுத்து மொழியும்,easy,"மொழியின் முதல் நிலை எது?",பேசுவது,எழுதுவது,படிப்பது,கேட்பது,A,"பேசுவதும் கேட்பதும் மொழியின் முதல் நிலை ஆகும்."
94,7,Tamil,செய்யுள் - காடு,easy,"'காடு' என்னும் பாடலை இயற்றியவர் யார்?",சுரதா,பாரதிதாசன்,வாணிதாசன்,முடியரசன்,C,"கவிஞர் வாணிதாசன் 'காடு' என்ற தலைப்பில் இயற்கையைப் போற்றிப் பாடியுள்ளார்."
95,7,Tamil,இலக்கணம் - தொழிற்பெயர்,medium,"'பாடுதல்' - இச்சொல்லில் உள்ள விகுதி எது?",தல்,அல்,ஐ,கை,A,"'தல்' விகுதி பெற்று வருவது தொழிற்பெயருக்கு ஒரு சான்றாகும்."
96,7,Tamil,துணைப்பாடம் - கப்பலோட்டிய தமிழர்,medium,"'கப்பலோட்டிய தமிழர்' என்று அழைக்கப்படுபவர் யார்?",திரு. வி. க.,வ. உ. சிதம்பரனார்,திருப்பூர் குமரன்,காமராசர்,B,"ஆங்கிலேயர்களுக்குப் போட்டியாக சுதேசிக் கப்பல் நிறுவனத்தைத் தொடங்கியதால், வ. உ. சிதம்பரனார் 'கப்பலோட்டிய தமிழர்' எனப் போற்றப்படுகிறார்."
97,7,Tamil,உரைநடை - தமிழ் வரிவடிவ வளர்ச்சி,hard,"தமிழ் எழுத்துச் சீர்திருத்தப் பணியில் ஈடுபட்டவர் யார்?",பாரதியார்,வீரமாமுனிவர்,தந்தை பெரியார்,மறைமலையடிகள்,C,"தந்தை பெரியார், எழுத்துகளை எளிமைப்படுத்த வேண்டும் என்ற நோக்கில் தமிழ் வரிவடிவத்தில் சீர்திருத்தம் செய்தார்."
98,7,Tamil,செய்யுள் - புறநானூறு,medium,"'யாதும் ஊரே யாவரும் கேளிர்' - இவ்வடி இடம்பெற்ற நூல் எது?",அகநானூறு,புறநானூறு,நற்றிணை,குறுந்தொகை,B,"கணியன் பூங்குன்றனார் பாடிய இந்த உலகப் புகழ் பெற்ற வரி புறநானூற்றில் உள்ளது."
99,7,Tamil,இலக்கணம் - ஆகுபெயர்,easy,"'டிசம்பர் சூடினாள்' - இது எவ்வகை ஆகுபெயர்?",பொருளாகுபெயர்,இடவாகுபெயர்,காலவாகுபெயர்,சினையாகுபெயர்,C,"இங்கே டிசம்பர் மாதம் என்பது அந்த மாதத்தில் பூக்கும் பூவைக் குறிப்பதால் காலவாகுபெயர் ஆகும்."
100,7,Tamil,பழமொழி,easy,"'காற்றுள்ள போதே தூற்றிக்கொள்' - இதன் பொருள் என்ன?",காற்றை வீணாக்காதே,காலத்தை சரியாகப் பயன்படுத்து,விவசாயம் செய்,தூய்மையாக இரு,B,"கிடைக்கும் வாய்ப்பை அல்லது சரியான நேரத்தை நழுவ விடாமல் பயன்படுத்திக்கொள்ள வேண்டும் என்பதே இதன் பொருள்."
101,8,Mathematics,Rational Numbers,easy,"Which number is the additive inverse of 2/8?",-2/8,8/2,1,-1,A,"The additive inverse of a number 'a' is '-a'. So for 2/8, it is -2/8."
102,8,Mathematics,Algebra,medium,"Find the product of (x+3) and (x+4).",x²+7x+12,x²+12x+7,x²+x+12,x²+7x+7,A,"(x+3)(x+4) = x(x+4) + 3(x+4) = x² + 4x + 3x + 12 = x² + 7x + 12."
103,8,Mathematics,Geometry,easy,"The sum of the interior angles of a quadrilateral is _____.",180°,270°,360°,540°,C,"A quadrilateral can be divided into two triangles, and the sum of angles in a triangle is 180°. So, 2 * 180° = 360°."
104,8,Mathematics,Life Mathematics,medium,"If the cost price of an item is ₹100 and it is sold for ₹120, what is the profit percentage?",10%,15%,20%,25%,C,"Profit = SP - CP = 120 - 100 = ₹20. Profit % = (Profit/CP) * 100 = (20/100) * 100 = 20%."
105,8,Mathematics,Exponents and Powers,medium,"What is the value of (3⁰ + 4⁻¹) × 2²?",1,3,4,5,D,"(1 + 1/4) * 4 = (5/4) * 4 = 5."
106,8,Mathematics,Square Roots,easy,"What is the square root of 144?",10,11,12,14,C,"The square root of 144 is 12, because 12 * 12 = 144."
107,8,Mathematics,Algebraic Expressions,hard,"Factorize: x² - y²", (x-y)², (x+y)(x-y), (x+y)², x(x-y),B,"The factorization of the difference of two squares a² - b² is (a+b)(a-b)."
108,8,Mathematics,Geometry,medium,"If two parallel lines are intersected by a transversal, then the alternate interior angles are _____.",Equal,Unequal,Supplementary,Complementary,A,"This is a fundamental property of parallel lines and transversals."
109,8,Mathematics,Data Handling,easy,"The difference between the highest and lowest observations in a data set is called _____.",Frequency,Mean,Median,Range,D,"The range provides a measure of the spread of the data."
110,8,Mathematics,Life Mathematics,hard,"Calculate the compound interest on ₹1000 for 1 year at 10% per annum, compounded annually.",₹10,₹100,₹110,₹1100,B,"CI = P(1 + R/100)ⁿ - P. For 1 year, CI is same as SI. SI = (P*N*R)/100 = (1000*1*10)/100 = ₹100."
111,8,Science,Microorganisms,easy,"Which microorganism is used to make bread and cake soft and fluffy?",Bacteria,Virus,Algae,Yeast,D,"Yeast reproduces rapidly and produces carbon dioxide during respiration, which makes the dough rise."
112,8,Science,Light,medium,"The splitting of white light into its seven constituent colors is called _____.",Reflection,Refraction,Dispersion,Scattering,C,"A prism is used to demonstrate the dispersion of light."
113,8,Science,Combustion and Flame,easy,"Which is the hottest zone of a candle flame?",Innermost zone,Middle zone,Outermost zone,Dark zone,C,"The outermost zone has complete combustion and is the hottest part."
114,8,Science,Cell - Structure and Functions,easy,"The 'powerhouse' of the cell is the _____.",Nucleus,Cytoplasm,Mitochondrion,Vacuole,C,"Mitochondria generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy."
115,8,Science,Force and Pressure,medium,"The pressure exerted by a liquid _____ with depth.",Increases,Decreases,Remains same,Becomes zero,A,"The deeper you go, the more weight of the liquid is above you, hence more pressure."
116,8,Science,Metals and Non-metals,medium,"Which non-metal is essential for our life and is inhaled during breathing?",Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,B,"Oxygen is required for cellular respiration to release energy from food."
117,8,Science,Sound,easy,"Sound cannot travel through _____.",Solids,Liquids,Gases,Vacuum,D,"Sound requires a medium (solid, liquid, or gas) to propagate as it travels as vibrations."
118,8,Science,Reproduction in Animals,medium,"The fusion of a male gamete (sperm) and a female gamete (egg) is called _____.",Pollination,Fertilization,Gestation,Ovulation,B,"Fertilization results in the formation of a zygote, which develops into an embryo."
119,8,Science,Conservation of Plants and Animals,easy,"A place where animals are protected in their natural habitat is called a _____.",Zoo,Museum,Sanctuary,Garden,C,"A wildlife sanctuary is a protected area for wildlife with limited human activity."
120,8,Science,Chemical Effects of Electric Current,hard,"The process of depositing a layer of any desired metal on another material by means of electricity is called _____.",Electroplating,Electrolysis,Electrorefining,Electromagnetism,A,"Electroplating is used for decoration and to prevent corrosion."
121,8,Social Science,History - Advent of the Europeans,easy,"In 1498, Vasco da Gama landed at which place in India?",Goa,Calicut,Madras,Bombay,B,"Vasco da Gama's arrival at Calicut (Kozhikode) in Kerala opened the sea route from Europe to India."
122,8,Social Science,Geography - Rocks and Soils,easy,"Which type of rock is formed from the cooling of magma or lava?",Igneous,Sedimentary,Metamorphic,Fossil,A,"Igneous rocks are called 'fire rocks' and are formed from molten rock material."
123,8,Social Science,Civics - How the State Government Works,easy,"The head of the state government is the _____.",President,Prime Minister,Governor,Chief Minister,D,"The Chief Minister is the elected head of government of a state in India."
124,8,Social Science,History - From Trade to Territory,medium,"The Battle of Plassey was fought in which year?",1757,1764,1857,1864,A,"The Battle of Plassey was a decisive victory of the British East India Company over the Nawab of Bengal."
125,8,Social Science,Geography - Resources,easy,"Anything that can be used to satisfy a need is a _____.",Thing,Substance,Resource,Utility,C,"Resources have utility and value, and can be natural, human-made, or human."
126,8,Social Science,Civics - The Indian Constitution,medium,"Who was the Chairman of the Drafting Committee of the Indian Constitution?",Jawaharlal Nehru,Sardar Patel,Dr. B.R. Ambedkar,Rajendra Prasad,C,"Dr. B.R. Ambedkar is widely regarded as the 'Father of the Indian Constitution'."
